Comment le support définit-il la notion de 'RISQUE' ?,Un danger ou inconvénient plus ou moins probable auquel on est exposé.
Vigilance réglementaire : Quel est l'objet de la Nutrivigilance ?,"Les aliments enrichis, compléments alimentaires et laits en poudre."
Vigilance réglementaire : L'Addictovigilance surveille les cas de pharmacodépendance liés aux substances _____.,Psychoactives
Que doit faire un professionnel de santé en cas de défaut ou dysfonctionnement d'un produit ?,Le signaler au plus vite au correspondant local de l'établissement.
Quels sont les trois piliers du fonctionnement des vigilances ?,"L'obligation de déclaration, le respect des suivis de l'information et la participation des acteurs."
"Dans le schéma de fonctionnement, vers quelle autorité nationale le correspondant local relaye-t-il les incidents ?",L'ANSM (ou toute autre autorité compétente selon le produit).
"Objet de la Pharmacovigilance : Surveillance, évaluation, prévention et gestion du risque d’_____ indésirable lié aux médicaments.",Effet
La pharmacovigilance s'exerce sur les médicaments ayant une AMM ou une _____.,ATU (Autorisation Temporaire d'Utilisation)
Pharmacovigilance : Définition de l'Évènement indésirable,"Toute manifestation nocive survenant chez une personne traitée, sans préjuger d'un lien avec le médicament."
Pharmacovigilance : Définition de l'Effet indésirable,Réaction nocive et non voulue suspectée d'être due à un médicament.
Qu'est-ce qu'un effet indésirable 'grave' en pharmacovigilance ?,"Un effet létal, mettant la vie en danger, entraînant une invalidité, une hospitalisation ou une malformation."
Qu'est-ce qu'un effet indésirable 'inattendu' en pharmacovigilance ?,Un effet dont la nature ou la sévérité ne correspond pas aux informations du résumé des caractéristiques du produit (RCP).
Pharmacovigilance : Définition du Mésusage,"Usage intentionnel non conforme aux termes de l'autorisation (AMM, ATU) ou aux recommandations."
Pharmacovigilance : Définition de l'Abus de médicament,"Usage excessif intentionnel, persistant ou sporadique, accompagné de réactions physiques ou psychologiques nocives."
Pharmacovigilance : Définition de l'Erreur médicamenteuse,Omission ou réalisation non intentionnelle d'un acte au cours du processus de soins impliquant un médicament.
Vrai ou Faux : La pharmacovigilance s'applique aux médicaments homéopathiques.,Vrai
Vrai ou Faux : Les médicaments dérivés du sang relèvent de la pharmacovigilance.,Vrai
"Depuis juin 2011, qui d'autre qu'un professionnel de santé peut déclarer un effet indésirable directement au CRPV ?",Le patient.
Quel est le but final de la matériovigilance ?,Éviter que ne se produisent ou se reproduisent des incidents graves mettant en cause des dispositifs médicaux.
"La biovigilance surveille les risques liés aux produits issus du corps humain, à l'exception des produits sanguins labiles qui relèvent de l'_____.",Hémovigilance
De quelle vigilance relèvent les gamètes et les embryons ?,La vigilance de l'assistance médicale à la procréation (AMP).
Biovigilance : Que signifie l'acronyme PTA ?,Produits Thérapeutiques Annexes.
Quel type d'incident est couvert par la réactovigilance ?,Les incidents résultant de l'utilisation d'un dispositif médical de diagnostic in vitro (DMDIV).
"Hémovigilance : Elle porte sur l'ensemble de la chaîne transfusionnelle, de la collecte jusqu'au _____.",Suivi des receveurs
Addictovigilance : La déclaration des cas de pharmacodépendance grave est-elle facultative ou obligatoire ?,Obligatoire.
L'Addictovigilance surveille également la consommation de deux produits spécifiques : le tabac et l'_____.,Alcool éthylique
Toxicovigilance : Les professionnels doivent déclarer les intoxications induites par toute substance naturelle ou de _____.,Synthèse
